X;13,0;14,0;15,0;16,0;17,0;18,0;19,0;20,0;21,0;22,0;23,0
0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
10;170,60;145,00;125,60;112,10;94,80;84,10;78,60;79,40;82,10;81,20;81,10
20;272,30;230,90;199,40;177,60;156,90;145,50;137,50;132,60;130,80;131,20;130,60
30;354,00;307,50;271,10;245,10;223,90;208,40;197,10;189,20;184,70;183,20;182,60
40;427,20;379,90;340,80;311,50;287,50;269,30;255,30;244,50;237,90;235,30;233,50
50;500,30;451,20;409,80;378,00;350,80;329,60;312,70;299,80;290,90;286,30;283,10
60;578,70;526,40;481,70;445,60;415,10;390,30;370,30;354,70;343,80;336,70;331,90
70;680,70;616,30;563,30;518,90;482,00;452,50;428,80;409,90;397,00;387,50;380,30
80;820,30;730,30;661,10;600,80;554,10;518,30;490,10;466,90;451,30;439,60;429,00
90;972,80;855,40;765,20;691,60;632,90;589,30;555,60;527,80;509,00;494,00;479,70
100;972,80;1002,30;880,90;792,80;720,20;666,10;626,10;593,70;572,40;553,80;536,00
110;972,80;1002,30;1008,10;903,00;820,10;753,40;704,90;666,90;642,00;620,80;601,00
120;972,80;1002,30;1147,00;1022,00;932,00;851,00;784,00;747,00;717,00;694,00;674,00

