X;13,0;13,1;13,2;13,3;13,4;13,5;13,6;13,7;13,8;13,9;14,0;14,1;14,2;14,3;14,4;14,5;14,6;14,7;14,8;14,9;15,0;15,1;15,2;15,3;15,4;15,5;15,6;15,7;15,8;15,9;16,0;16,1;16,2;16,3;16,4;16,5;16,6;16,7;16,8;16,9;17,0;17,1;17,2;17,3;17,4;17,5;17,6;17,7;17,8;17,9;18,0;18,1;18,2;18,3;18,4;18,5;18,6;18,7;18,8;18,9;19,0;19,1;19,2;19,3;19,4;19,5;19,6;19,7;19,8;19,9;20,0;20,1;20,2;20,3;20,4;20,5;20,6;20,7;20,8;20,9;21,0;21,1;21,2;21,3;21,4;21,5;21,6;21,7;21,8;21,9;22,0;22,1;22,2;22,3;22,4;22,5;22,6;22,7;22,8;22,9;23,0
0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1;100,13;98,82;97,56;96,34;95,16;94,02;92,92;91,86;90,84;89,86;88,92;88,01;87,15;86,33;85,55;84,81;84,11;83,45;82,83;82,25;81,71;80,99;80,28;79,56;78,85;78,14;77,43;76,72;76,01;75,30;74,60;74,29;74,07;73,92;73,84;73,84;73,91;74,06;74,28;74,58;74,95;74,75;74,51;74,23;73,91;73,55;73,14;72,69;72,20;71,66;71,08;71,00;70,97;70,99;71,07;71,20;71,39;71,63;71,93;72,28;72,69;72,81;72,92;73,03;73,13;73,22;73,30;73,38;73,45;73,52;73,58;73,77;73,98;74,20;74,45;74,72;75,00;75,30;75,62;75,96;76,32;76,98;77,72;78,52;79,40;80,35;81,36;82,45;83,61;84,84;86,14;86,63;87,03;87,34;87,56;87,68;87,72;87,67;87,53;87,30;86,98
2;105,40;104,08;102,79;101,55;100,34;99,18;98,06;96,97;95,93;94,92;93,96;93,04;92,15;91,31;90,50;89,74;89,02;88,33;87,69;87,08;86,52;85,79;85,06;84,33;83,60;82,88;82,15;81,43;80,71;80,00;79,28;78,94;78,67;78,47;78,33;78,27;78,28;78,35;78,50;78,71;79,00;78,78;78,53;78,24;77,91;77,56;77,16;76,73;76,27;75,77;75,24;75,14;75,08;75,08;75,12;75,22;75,36;75,56;75,80;76,10;76,44;76,54;76,63;76,71;76,80;76,88;76,95;77,02;77,08;77,14;77,20;77,37;77,56;77,76;77,99;78,23;78,48;78,76;79,05;79,35;79,68;80,27;80,92;81,63;82,41;83,25;84,14;85,11;86,13;87,21;88,36;88,79;89,14;89,40;89,59;89,70;89,73;89,68;89,54;89,33;89,04
3;110,83;109,48;108,17;106,90;105,67;104,48;103,33;102,22;101,15;100,12;99,14;98,19;97,28;96,41;95,58;94,79;94,04;93,33;92,66;92,03;91,45;90,69;89,94;89,20;88,45;87,71;86,98;86,24;85,51;84,78;84,06;83,67;83,36;83,10;82,91;82,79;82,73;82,74;82,81;82,95;83,15;82,91;82,64;82,34;82,01;81,66;81,27;80,86;80,42;79,96;79,47;79,34;79,27;79,23;79,25;79,30;79,41;79,55;79,75;79,98;80,27;80,33;80,40;80,47;80,53;80,59;80,65;80,71;80,77;80,82;80,88;81,02;81,19;81,37;81,57;81,78;82,01;82,25;82,51;82,79;83,08;83,60;84,17;84,79;85,47;86,20;86,98;87,82;88,71;89,66;90,66;91,03;91,33;91,55;91,71;91,80;91,81;91,76;91,63;91,43;91,16
4;116,40;115,02;113,69;112,39;111,14;109,92;108,74;107,61;106,51;105,46;104,44;103,46;102,53;101,63;100,78;99,96;99,18;98,45;97,75;97,10;96,48;95,71;94,94;94,17;93,41;92,65;91,90;91,15;90,40;89,66;88,92;88,50;88,13;87,83;87,59;87,41;87,28;87,22;87,22;87,28;87,40;87,13;86,84;86,53;86,20;85,84;85,47;85,07;84,66;84,22;83,76;83,62;83,52;83,46;83,44;83,46;83,52;83,62;83,76;83,94;84,16;84,20;84,24;84,29;84,33;84,38;84,42;84,46;84,51;84,55;84,60;84,73;84,87;85,02;85,19;85,38;85,57;85,79;86,02;86,26;86,52;86,97;87,46;87,99;88,58;89,21;89,88;90,60;91,37;92,18;93,04;93,35;93,60;93,79;93,91;93,97;93,98;93,91;93,79;93,61;93,36
5;122,13;120,72;119,36;118,03;116,75;115,50;114,30;113,13;112,01;110,92;109,88;108,87;107,91;106,98;106,10;105,25;104,45;103,68;102,96;102,27;101,63;100,83;100,04;99,25;98,47;97,69;96,92;96,15;95,39;94,63;93,88;93,41;93,00;92,65;92,35;92,11;91,93;91,80;91,73;91,71;91,75;91,46;91,15;90,82;90,48;90,13;89,76;89,37;88,97;88,55;88,13;87,96;87,83;87,74;87,69;87,67;87,69;87,74;87,84;87,96;88,13;88,14;88,16;88,17;88,20;88,22;88,25;88,27;88,31;88,34;88,38;88,48;88,59;88,72;88,86;89,02;89,19;89,37;89,57;89,78;90,00;90,38;90,79;91,24;91,74;92,27;92,84;93,44;94,09;94,78;95,50;95,75;95,96;96,10;96,20;96,23;96,22;96,15;96,03;95,85;95,62
6;128,00;126,56;125,17;123,81;122,50;121,22;119,98;118,79;117,63;116,52;115,44;114,40;113,41;112,45;111,54;110,66;109,82;109,03;108,27;107,56;106,88;106,06;105,24;104,43;103,62;102,83;102,03;101,25;100,46;99,69;98,92;98,41;97,96;97,55;97,20;96,91;96,66;96,47;96,32;96,24;96,20;95,88;95,55;95,20;94,85;94,50;94,13;93,75;93,36;92,97;92,56;92,37;92,22;92,10;92,01;91,96;91,93;91,94;91,98;92,05;92,16;92,14;92,13;92,13;92,12;92,13;92,13;92,14;92,16;92,18;92,20;92,27;92,36;92,46;92,57;92,70;92,84;92,99;93,15;93,33;93,52;93,83;94,17;94,54;94,94;95,38;95,85;96,35;96,88;97,44;98,04;98,24;98,39;98,50;98,56;98,58;98,54;98,47;98,34;98,17;97,96
7;134,03;132,56;131,13;129,74;128,39;127,08;125,81;124,58;123,39;122,24;121,14;120,07;119,04;118,05;117,10;116,19;115,32;114,49;113,70;112,95;112,25;111,39;110,55;109,71;108,89;108,06;107,25;106,44;105,64;104,84;104,06;103,50;103,00;102,55;102,15;101,79;101,49;101,23;101,02;100,86;100,75;100,40;100,04;99,68;99,32;98,95;98,58;98,21;97,83;97,45;97,06;96,86;96,67;96,52;96,40;96,30;96,24;96,20;96,19;96,22;96,27;96,22;96,18;96,14;96,12;96,09;96,08;96,07;96,06;96,07;96,08;96,12;96,18;96,25;96,33;96,43;96,53;96,65;96,78;96,93;97,08;97,32;97,59;97,88;98,20;98,55;98,92;99,32;99,74;100,19;100,66;100,80;100,91;100,98;101,01;101,00;100,95;100,86;100,73;100,57;100,37
8;140,20;138,70;137,23;135,81;134,42;133,08;131,78;130,51;129,29;128,10;126,96;125,86;124,79;123,77;122,78;121,84;120,94;120,07;119,25;118,46;117,72;116,84;115,97;115,10;114,25;113,40;112,56;111,73;110,90;110,09;109,28;108,69;108,14;107,64;107,18;106,77;106,40;106,09;105,81;105,58;105,40;105,02;104,64;104,26;103,88;103,51;103,13;102,76;102,38;102,01;101,64;101,40;101,20;101,01;100,85;100,72;100,61;100,53;100,48;100,44;100,44;100,36;100,29;100,23;100,17;100,13;100,08;100,05;100,03;100,01;100,00;100,02;100,05;100,09;100,14;100,20;100,27;100,36;100,45;100,56;100,68;100,86;101,06;101,27;101,51;101,77;102,05;102,35;102,66;103,00;103,36;103,45;103,51;103,54;103,54;103,50;103,43;103,33;103,20;103,04;102,84
